,Article Type,URL,Has Tweet Source?,Location Tweet Source,Claims,Original tweets
175,pagination latest,https://www.abc.net.au/news/2019-12-05/fact-check-are-nsw-firefighters-facing--budget-cuts/11747396,True,['Twitter with varying numbers to support their case.'],"["" government's budget papers show that Fire and Rescue NSW and the Rural Fire Service combined are facing a $40 million budget cut — a cut that will mean fewer people on the ground to fight fires and less budget to do it with"", 'provided record funding to all of our frontline agencies in emergency services']","['No tweets found', 'No tweets found']"
176,pagination latest,https://www.abc.net.au/news/2019-11-29/fact-check-is-the-cfmmeu-most-unlwaful-union-in-history/11746820,False,,"[""the most unlawful organisation in the history of Australia's industrial laws — the most, including the BLF ."", ""ou've got one particular union which everyone clearly believes has a history of unlawfulness which is completely unprecedented … The point is there has never been … an organisation in the union movement more unlawful than the CFMEU .""]","['No tweets found', 'No tweets found']"
177,pagination latest,https://www.abc.net.au/news/2019-11-20/fact-check-australia-carbon-emissions-fossil-fuel-exports/11645670,True,"[""tweetclaiming that Australia's share of the global total rises to more than 5 per cent once the emissions embedded in its exports are included."", 'tweeted.']","['The science is clear,', 'Coal is the #1 source of climate damage. Our world is at war & Aus is one of the principal arms dealers!', ""As only 25m people, we generate + export over 5% of the world's emissions today.""]","['www.twitter.com/ClimateReality/status/1195131305656307712', 'www.twitter.com/mcannonbrookes/status/1176553597372223488', 'www.twitter.com/mcannonbrookes/status/1176553597372223488']"
178,pagination latest,https://www.abc.net.au/news/2019-11-14/fact-check-did-high-fire-danger-indices-come-earlier-this-year/11506082,False,,"['an historic event', ""We've never seen fire danger indices, fire danger ratings, at this time of the year, as we're seeing now. Never seen this before in recorded history.""]","['www.twitter.com/princeindah/status/1191678273727746053', 'No tweets found']"
179,pagination latest,https://www.abc.net.au/news/2019-11-12/zombie-did-the-government-cut-1-point-2-billion-from-aged-care/11687258,False,,"['a sad and shocking system that diminishes Australia as a nation', 'systemic failures', 'There is nothing systemic about a government making a decision to cut $1.2 billion out of the aged care system,', ""And that is the decision that this Prime Minister made when he was the treasurer of this nation. That's what this Government has presided over since they were elected in 2013. They had been in government for the last six years. What's going on?""]","['www.twitter.com/CanberraCamper/status/1189776517112328193', 'www.twitter.com/MiddleEastEye/status/1192475575170060288', 'No tweets found', 'No tweets found']"
180,pagination latest,https://www.abc.net.au/news/2019-11-08/fact-check-carbon-emissions-under-the-coalition/11662018,False,,"['done a great job', 'factually wrong', 'They have fallen since 2005,', 'They are the lowest they have ever been.']","['www.twitter.com/daveproctor16/status/1192337535596404736', 'www.twitter.com/ekinn3/status/1192126555536928768', 'No tweets found', 'www.twitter.com/carolemorrissey/status/1178921150585270278']"
181,pagination latest,https://www.abc.net.au/news/2019-10-24/zombie---angus-taylor-emissions-abatement-kyoto-protocol/11630780,False,,"['deficit', 'carryover', 'inherited', 'direct action']","['www.twitter.com/penelopelamour7/status/1186963171069878272', 'www.twitter.com/EJXD2/status/1186701178350034949', 'www.twitter.com/LKondombolo/status/1186944942955995136', 'www.twitter.com/ShakilRai2/status/1186826738199744512']"
182,pagination latest,https://www.abc.net.au/news/2019-10-10/fact-check3a-is-australia-the-only-first-world-nation-with-a-c/11583706,False,,"['The Australian constitution is the only constitution of a first world nation with a colonial history that does not recognise its first people.', ""That's the truth,""]","['No tweets found', 'www.twitter.com/myaarrb/status/1181827738857918464']"
183,pagination latest,https://www.abc.net.au/news/2019-10-03/fact-check-barnaby-joyce-poorest-electorates/11437932,False,,"[""In the National Party, we've got the poorest seats. The richest people are represented by the Greens, then the Libs, then the  Labor; we look after the poorest. And we've got to somehow ventilate some of their issues. I think it's incumbent upon us,""]",['No tweets found']
184,pagination latest,https://www.abc.net.au/news/2019-09-30/morrison-un-speech/11553594,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
185,pagination latest,https://www.abc.net.au/news/2019-09-23/fact-check3a-are-the-rules-of-confession-in-the-bible3f/11528838,False,,['not written in scripture'],['www.twitter.com/catholicismfelt/status/1155451097680687106']
186,pagination latest,https://www.abc.net.au/news/2019-09-13/did-the-coalition-inherit-an-emissions-deficit-scott-morrison/11506064,False,,"['When we came to government there was a 700 million-tonne deficit when it came to meeting our 2020 Kyoto targets, and we set to work immediately and turned that around, and we will now exceed the Kyoto 2020 targets by 367 million tonnes.']",['No tweets found']
187,pagination latest,https://www.abc.net.au/news/2019-09-12/is-renewable-power-cheaper-than-coal-nuclear-malcolm-turnbull/11495558,True,"['tweetclaiming: ""The bottom line is renewables + storage are cheaper than new coal let alone the loopy current fad of nuclear power which is the current weapon of mass distraction for the backbench.']",['The bottom line is renewables + storage are cheaper than new coal let alone the loopy current fad of nuclear power which is the current weapon of mass distraction for the backbench.'],['www.twitter.com/TurnbullMalcolm/status/1169566153288507392']
188,pagination latest,https://www.abc.net.au/news/2019-09-10/fact-check-religious-freedom-laws/11455850,False,,"[""What we don't have in Australia is a law that basically says that you cannot discriminate against someone because of their religious beliefs,"", ""It does seem to be a bit of a missing link in our legal regime, that there's currently not that protection in place that says that you cannot discriminate against someone because of what they believe in,""]","['No tweets found', 'No tweets found']"
189,pagination latest,https://www.abc.net.au/news/2019-09-04/fact-check-nsw-abortion-law-victoria/11474570,False,,"['Since abortion was decriminalised in Victoria in 2008, post 20 week abortions have increased by 39 per cent,']",['No tweets found']
190,pagination latest,https://www.abc.net.au/news/2019-08-29/fact-check-mabo-decision-high-court-dispossession-pauline-hanson/11342504,False,,"[""Same as with Mabo, and the native title. We thought we were signing over just to Mabo because his connection with the land. It's had so much impact on us with native title, that a lot of people have been dispossessed of their lands in Australia because of it,""]",['Quoted claim exceeds 280 characters']
