,Article Type,URL,Has Tweet Source?,Location Tweet Source
96,in-the-red,https://www.abc.net.au/news/2014-07-27/medicare-locals-promise-check/5518616,False,
97,in-the-red,https://www.abc.net.au/news/2014-07-27/no-cuts-to-the-sbs-promise-check/5391126,False,
98,in-the-red,https://www.abc.net.au/news/2014-07-27/delay-superannuation-promise-check/5505478,False,
99,in-the-red,https://www.abc.net.au/news/2014-07-27/draft-amendment-constitutional-recognition-promise-check/5484342,False,
100,in-the-red,https://www.abc.net.au/news/2014-07-09/tony-abbott-emissions-trading-around-the-world-fact-check/5559430,False,
101,in-the-red,https://www.abc.net.au/news/2014-06-02/chris-bowen-scaremongering-on-commissions-for-financial-advisers/5430672,False,
102,in-the-red,https://www.abc.net.au/news/2014-05-13/tony-shepherd-incorrect-doctor-visits/5436706,False,
103,in-the-red,https://www.abc.net.au/news/2014-05-12/jenny-macklin-pension-claim-unfounded/5433926,False,
104,in-the-red,https://www.abc.net.au/news/2014-05-09/abbott-two-percent-women-paid-over-241002c000/5424468,False,
105,in-the-red,https://www.abc.net.au/news/2014-04-30/alan-tudge-incorrect-on-racial-disrcimination-act/5378960,False,
106,in-the-red,https://www.abc.net.au/news/2014-04-30/george-brandis-ill-informed-on-right-to-be-bigots/5375302,False,
107,in-the-red,https://www.abc.net.au/news/2014-04-22/racial-discrimination-act-promise-check/5364682,False,
108,in-the-red,https://www.abc.net.au/news/2014-04-11/barry-ofarrell-sydney-trains-claim-doubtful/5371446,False,
109,in-the-red,https://www.abc.net.au/news/2014-04-04/bill-shorten-wa-education-cuts-claim-doesnt-check-out/5356650,False,
110,in-the-red,https://www.abc.net.au/news/2014-04-01/mathias-cormann-mining-tax-claim-exaggerated/5341306,False,
111,in-the-red,https://www.abc.net.au/news/2014-03-26/tony-abbott-tasmanian-wilderness-claim-does-not-check-out/5345072,False,
112,in-the-red,https://www.abc.net.au/news/2014-03-18/how-many-people-watch-the-australian-formula-one-grand-prix/5326138,False,
113,in-the-red,https://www.abc.net.au/news/2014-03-14/abbott-not-telling-the-full-story-on-alcoa-closure/5320468,False,
114,in-the-red,https://www.abc.net.au/news/2014-03-05/albanese-wrong-on-government-ownership-of-airlines/5298486,False,
115,in-the-red,https://www.abc.net.au/news/2014-03-03/jobs-and-unemployment-whats-the-real-story-in-tasmania/5275438,False,
116,in-the-red,https://www.abc.net.au/news/2014-02-24/liberal-mp-kelly-odwyer-incorrect-on-australias-refugee-intake/5270252,False,
117,in-the-red,https://www.abc.net.au/news/2014-02-14/brendan-oconnor-incorrect-on-royal-commission-cost/5255490,False,
118,in-the-red,https://www.abc.net.au/news/2014-02-03/kevin-andrews--makes-unfounded-welfare-claim/5215798,False,
119,in-the-red,https://www.abc.net.au/news/2014-01-24/tony-abbott-incorrect-on-asylum-seekers-breaking-australian-law/5214802,False,
120,in-the-red,https://www.abc.net.au/news/2014-01-22/philip-morris-wrong-plain-packaging/5137682,False,
121,in-the-red,https://www.abc.net.au/news/2013-12-04/unlikely-alleged-east-timor-spying-illegal-under-australian-law/5134138,False,
122,in-the-red,https://www.abc.net.au/news/2013-12-04/clive-palmer-incorrect-on-executions-in-china/5117766,False,
